sample_ID age maturity gonad_weight MOD LC Diam.min Diam.max Diam.sd SW K GSI GSIs Fec Rfec RfecS RfecTL3 ID_2
0 D D P P P P P P P P P P P P P P D
Hastkar_47 6 6 2.50 1042 1091 946 1125 33.7 41.1 0.68 11.53 13.03 6.358 137 155 93 47
Hastkar_48 5 6 1.96 1019 1074 929 1127 37.5 47.4 0.60 8.13 8.85 5.285 102 111 61 48
Hastkar_49 5 6 3.49 1030 1087 954 1157 34.0 47.1 0.65 13.68 15.85 9.155 168 194 109 49
Hastkar_50 7 6 2.15 1034 1074 963 1092 27.4 54.1 0.59 7.84 8.50 5.586 95 103 56 50
Hastkar_51 6 6 3.06 949 997 865 1205 41.0 48.3 0.69 11.95 13.57 9.924 181 206 124 51
Hastkar_52 5 6 2.81 985 1048 897 1074 35.7 51.4 0.62 10.48 11.70 8.277 144 161 89 52
Hastkar_54 6 6 6.01 1015 1081 895 1163 41.1 59.2 0.60 17.84 21.71 16.382 227 277 136 54
Hastkar_55 6 5 9.31 969 1029 874 1058 39.3 81.5 0.74 19.65 24.45 28.613 282 351 210 55
Hastkar_56 8 6 3.46 1026 1078 952 1104 31.0 48.4 0.72 13.27 15.30 9.178 164 190 118 56
Hastkar_57 7 6 5.23 1046 1097 961 1156 33.9 45.9 0.76 19.60 24.38 13.189 231 287 175 57
Hastkar_58 7 7 NA 1009 1067 866 1246 41.6 NA 0.66 NA NA NA NA NA NA 58
Hastkar_59 10 6 3.44 1021 1085 930 1122 40.7 49.4 0.67 12.96 14.89 9.222 162 187 109 59
Hastkar_60 5 5 3.17 939 997 842 1050 32.9 29.3 0.66 18.79 23.14 10.557 292 360 194 60
Hastkar_61 6 5 6.52 1021 1088 864 1149 44.4 48.2 0.71 22.43 28.92 17.494 281 363 200 61
Hastkar_62 6 6 4.19 1038 1098 954 1133 38.8 47.4 0.65 15.90 18.90 10.764 191 227 125 62
Hastkar_63 6 6 7.28 1060 1121 980 1192 37.0 57.7 0.76 21.25 26.99 17.745 242 307 184 63
Hastkar_64 7 6 5.57 1021 1078 936 1119 33.7 40.1 0.73 22.92 29.74 14.951 288 373 211 64
Hastkar_65 9 6 7.82 1077 1143 955 1205 42.5 56.3 0.79 22.92 29.74 18.282 250 325 197 65
Hastkar_66 6 6 4.13 1105 1177 1009 1214 43.7 48.6 0.57 15.40 18.20 9.033 157 186 90 66
Hastkar_67 7 6 5.35 1076 1134 983 1202 36.9 58.7 0.72 16.33 19.52 12.537 179 214 128 67
Hastkar_68 6 9 NA 1083 1138 971 1185 33.4 NA 0.74 NA NA NA NA NA NA 68
Hastkar_69 8 6 5.43 1081 1149 985 1169 37.3 53.1 0.70 17.96 21.89 12.577 194 237 136 69
Hastkar_70 7 5 4.61 964 1016 881 1031 32.2 52.5 0.66 15.81 18.78 14.358 230 273 153 70
Hastkar_71 5 6 5.44 1011 1084 879 1115 41.6 54.4 0.77 17.64 21.42 14.965 227 275 174 71
Hastkar_72 5 6 4.60 1101 1177 990 1253 48.6 43.6 0.73 18.43 22.60 10.168 190 233 139 72
Hastkar_73 4 6 8.05 981 1034 895 1073 32.5 103.3 0.74 14.30 16.68 23.968 199 232 146 73
Hastkar_74 4 6 4.74 1015 1071 924 1189 39.3 69.7 0.61 12.71 14.56 12.909 162 185 99 74
Hastkar_75 6 7 NA NA NA NA NA NA NA 0.65 NA NA NA NA NA NA 75
Hastkar_76 6 6 6.10 1084 1137 1006 1260 35.7 52.1 0.70 20.02 25.03 14.010 215 269 151 76
Hastkar_77 6 5 5.79 1036 1101 924 1122 41.6 45.1 0.79 21.55 27.47 14.972 260 332 205 77
Hastkar_78 6 5 3.22 1035 1092 966 1143 32.9 42.8 0.61 13.86 16.10 8.343 168 195 103 78
Hastkar_79 6 5 7.33 1026 1071 950 1096 31.8 44.8 0.65 25.93 35.00 19.432 321 434 210 79
Hastkar_80 5 6 2.26 984 1046 865 1093 40.4 46.1 0.56 9.50 10.50 6.671 131 145 73 80
Hastkar_81 5 5 4.92 971 1043 860 1052 39.3 48.0 0.65 18.00 21.95 15.041 257 314 167 81
Hastkar_82 6 6 4.31 1007 1058 920 1114 35.2 43.5 0.68 17.50 21.21 11.993 228 276 154 82
Hastkar_83 7 6 5.58 1013 1064 920 1104 31.6 51.2 0.70 18.92 23.34 15.288 242 299 170 83
Hastkar_84 7 6 2.52 981 1040 892 1064 32.5 35.6 0.52 13.15 15.15 7.505 183 211 95 84
Hastkar_85 7 5 4.50 928 984 844 1029 35.0 52.8 0.75 15.43 18.25 15.456 248 293 185 85
Hastkar_87 6 5 5.41 1023 1074 941 1099 31.6 46.9 0.71 19.79 24.67 14.458 247 308 175 87
Hastkar_88 6 6 3.72 1027 1090 944 1115 39.2 39.8 0.64 16.65 19.98 9.839 206 247 133 88
Hastkar_89 5 5 7.19 932 983 804 1016 32.7 51.1 0.68 23.14 30.10 24.441 368 478 249 89
Hastkar_90 6 6 5.13 1016 1065 926 1183 35.7 43.8 0.65 20.03 25.05 13.954 255 318 164 90
Hastkar_91 5 6 3.02 907 995 640 1051 50.2 51.1 0.63 11.22 12.64 10.989 191 215 120 91
Hastkar_92 6 6 3.29 1057 1113 981 1153 34.4 56.0 0.78 11.18 12.58 8.072 128 144 99 92
Hastkar_93 6 6 3.79 1073 1112 994 1160 28.6 42.9 0.72 15.90 18.91 8.953 176 209 126 93
Hastkar_94 4 6 4.04 983 1035 903 1062 33.3 50.8 0.75 14.55 17.03 11.958 201 236 152 94
Hastkar_95 6 5 7.68 1123 1213 1018 1238 43.9 43.2 0.75 27.58 38.08 16.115 270 373 201 95
