"V1"	"V2"	"sample.id"	"spawning.season"	"cluster"	"cluster.jake"
0.0240563170058948	-0.00234004893346833	"Hastkar_397"	NA	"Intermediate"	1
0.0263745167957437	0.0478056533434609	"Hastkar_398"	NA	"Intermediate"	1
0.0294347104301209	0.0235783900113489	"Hastkar_399"	NA	"Intermediate"	NA
-0.0169164718821584	-0.0216765079111296	"Hastkar_400"	NA	"Spring-like"	1
-0.0230223223304506	-0.00617566186280841	"Hastkar_401"	NA	"Spring-like"	NA
0.00748584694501441	0.00987622973672863	"Hastkar_402"	NA	NA	NA
-0.0208592331414785	-0.00104320060827251	"Hastkar_403"	NA	"Spring-like"	1
-0.0218765355601225	-0.000811159953922718	"Hastkar_404"	NA	"Spring-like"	1
0.0336625590389836	-0.000978603635373172	"Hastkar_405"	NA	"Intermediate"	1
5.25534860849542e-09	3.83155368490834e-10	"Hastkar_406"	NA	NA	2
-0.0222248095494486	-0.0025518976558141	"Hastkar_407"	NA	"Spring-like"	NA
-0.0247562548604668	-0.000302059902934658	"Hastkar_408"	NA	"Spring-like"	NA
-0.00669111567771611	0.0145105108376139	"Hastkar_409"	NA	"Spring-like"	1
-0.0220907562854967	0.00264219900877309	"Hastkar_410"	NA	"Spring-like"	1
-0.0235571689132275	-0.000439599630669505	"Hastkar_411"	NA	"Spring-like"	NA
-0.0220261147753171	-0.00878468657393589	"Hastkar_412"	NA	"Spring-like"	1
-0.0109110832325411	0.00562530776866268	"Hastkar_413"	NA	"Spring-like"	NA
0.021999538089869	0.035679523515916	"Hastkar_414"	NA	"Intermediate"	NA
-0.0184508372019812	-0.000584109495614189	"Hastkar_415"	NA	"Spring-like"	1
-0.0137677878529915	0.00450687717761039	"Hastkar_416"	NA	"Spring-like"	NA
-0.0036091100729846	0.0107674609017727	"Hastkar_417"	NA	"Spring-like"	1
-0.0236187513744642	-0.00206142068838758	"Hastkar_418"	NA	"Spring-like"	1
-0.0226945006807025	-0.00188736580853411	"Hastkar_419"	NA	"Spring-like"	NA
-0.0204861890745644	0.00151828357314522	"Hastkar_420"	NA	"Spring-like"	NA
-0.0233352276408886	-0.00614669252058059	"Hastkar_421"	NA	"Spring-like"	NA
0.0297224520450097	0.0174555001124484	"Hastkar_422"	NA	"Intermediate"	NA
-0.0248902148790334	0.0017622749152961	"Hastkar_423"	NA	"Spring-like"	1
0.00245968210102348	-0.000526784790234995	"Hastkar_424"	NA	NA	NA
0.05223024659782	0.0603139819790332	"Hastkar_425"	NA	NA	2
-0.0232032279050509	0.00275430670630268	"Hastkar_426"	NA	"Spring-like"	NA
-0.00870736464774965	0.0105101658126053	"Hastkar_427"	NA	"Spring-like"	NA
0.0207045134989573	-0.101487741962015	"Hastkar_428"	NA	"Intermediate"	1
0.045936996218232	0.0260408990351451	"Hastkar_429"	NA	NA	1
-0.0120788802976837	0.000545676366675897	"Hastkar_430"	NA	"Spring-like"	NA
-0.0217023522210034	-0.0049349665250079	"Hastkar_431"	NA	"Spring-like"	NA
-0.0227454711006775	0.00353774813421168	"Hastkar_432"	NA	"Spring-like"	NA
-0.00813221987942624	0.00770415135244474	"Hastkar_433"	NA	"Spring-like"	NA
-0.0245590051773066	0.00125115828554812	"Hastkar_434"	NA	"Spring-like"	NA
-0.0238759229014483	-0.000741822331038017	"Hastkar_435"	NA	"Spring-like"	NA
0.0799436127884555	0.0424852997637665	"Hastkar_436"	NA	"Autumn-like"	NA
0.0111148250023644	0.0176294075303694	"Hastkar_437"	NA	NA	1
-0.0237827520840197	-0.000401526032378304	"Hastkar_438"	NA	"Spring-like"	NA
-0.0174389243471735	-0.0059959842976968	"Hastkar_439"	NA	"Spring-like"	1
-0.0217378979242063	2.40912156848066e-05	"Hastkar_440"	NA	"Spring-like"	1
-0.0114863871385398	-0.00650489628242233	"Hastkar_441"	NA	"Spring-like"	NA
0.023482087089739	-0.0242377232656477	"Hastkar_442"	NA	"Intermediate"	NA
-0.0208763703308756	0.00227941199616062	"Hastkar_443"	NA	"Spring-like"	1
-0.0240187799828276	-0.00491977838130316	"Hastkar_444"	NA	"Spring-like"	1
-0.0252281446858759	0.0161547678388498	"Hastkar_445"	NA	"Spring-like"	NA
