,body_length
1701-699,20.4
1701-700,21.6
1701-701,20.6
1701-702,22
1701-703,20
1701-704,19.4
1701-705,19.1
1701-706,20.6
1701-707,20.5
1701-708,16.9
1701-709,21.3
1701-710,18.9
1701-711,20.6
1701-712,19.8
1701-713,21.1
1701-714,21.6
1701-715,19
1701-716,21.2
1701-717,20.7
1701-718,21.5
1701-719,21.2
1701-720,20.4
1701-721,21.6
1701-722,24.9
1701-723,19.6
1701-724,19.9
1701-725,20.9
1701-726,20.9
1701-727,21.1
1701-728,21
1701-729,20.2
1701-730,29.5
1701-731,20.3
1701-732,20.8
1701-733,19.8
1701-734,23.6
1701-735,21.9
1701-736,21.2
1701-737,18.8
1701-738,20.2
1701-739,20.5
1701-741,21.4
1701-742,20.6
1701-743,20.8
1701-744,20.7
1701-745,20.6
1701-746,20.6
1701-747,20.2
1701-748,21.3
1701-749,21.4
1701-750,20
1701-751,22.2
1701-752,20.7
1701-753,20.6
1701-754,21.9
1701-755,20.3
1701-756,20.5
1701-757,20.3
1701-758,21.2
1701-759,20.6
1701-760,20.9
1701-761,21.2
1701-762,20
1701-763,20.8
1701-764,23.7
1701-765,19.6
1701-766,19.9
1701-767,20.6
1701-768,19.6
1701-769,22.6
1701-770,21.4
1701-771,21.4
1701-772,23.4
1701-773,18.8
1701-774,20.4
1701-775,21.2
1701-776,19.5
1701-777,21.5
1701-778,21.7
1701-779,20
1701-780,20
1701-781,19.8
1701-782,20.6
1701-783,22.6
1701-784,21.6
1701-785,23.5
1701-786,20
1701-787,20.7
1701-788,21.1
1701-789,19.6
1701-790,22.9
1701-791,21.7
1701-792,21.2
1701-793,21.5
1701-794,19.9
1701-795,20.2
1701-796,21.9
1701-797,22
1701-798,20
1701-799,22.5
1701-800,19.7
1701-801,18.2
1701-802,19
1701-803,21
1701-804,21.6
1701-805,22.5
1701-806,20
1701-807,19.9
1701-808,18.9
1701-809,19.6
1701-810,19
1701-811,21.2
1701-812,21.1
1701-813,19.4
1701-814,20.6
1701-815,21
1701-816,20.1
1701-817,19.9
1701-818,18.4
1701-819,19.8
1701-820,21.4
1701-821,18.3
1701-822,20.6
1701-823,22.6
1701-824,18.8
1701-825,20.6
1701-826,21.1
1701-827,15.7
1701-828,19.8
1701-829,20.2
1701-830,20.1
1701-831,19.7
1701-832,21.8
1701-833,20
1701-834,20.9
1701-835,19.6
1701-836,22.2
1701-837,19.1
1701-838,21.1
1701-839,20.4
1701-840,20.5
1701-841,21.5
1701-842,20.1
1701-843,19.7
1701-844,20.4
1701-845,19.9
1701-846,20.5
1701-847,20.6
1701-848,18.8
1701-849,19.5
1701-850,21.5
1701-851,22.1
1701-852,20.1
1701-853,18.9
1701-854,19.9
1701-855,22.5
1701-856,19.9
1701-857,19.7
1701-858,21.4
1701-859,20.7
1701-860,21.7
1701-861,21.1
1701-862,20.3
1701-863,19.5
1701-864,19
1701-865,21
1701-866,19
1701-867,20.7
1701-868,19.7
1701-869,17.6
1701-870,23.4
1701-871,21.4
1701-872,21.7
1701-874,20.4
1701-875,19.3
1701-876,22.3
1701-877,23.2
1701-878,23.5
1701-879,23.2
1701-880,23.4
1701-881,21
1701-882,20.2
1701-883,20.9
1701-884,20.6
1701-885,18.2
1701-886,22.2
1701-887,20.9
1701-888,18.9
1701-889,21.7
1701-890,23.4
1701-892,19.9
1701-893,22
1701-894,23.8
1701-895,20.5
1701-896,23.8
1701-897,21.3
1701-898,19.5
1701-899,20
1701-900,16.8
1701-901,20.3
1701-902,22.7
1701-903,18.3
1701-904,20.1
1701-905,20.7
1701-906,17.7
1701-907,20.6
1701-908,20.6
1701-909,20.1
1701-910,20.6
1701-911,19.2
1701-912,20.7
1701-913,20.1
1701-914,20.1
1701-915,19.3
1701-916,19.3
1701-917,19.6
1701-918,20.7
1701-919,20
1701-920,20.5
1701-921,20.8
1701-922,20.5
1701-923,21.5
1701-924,21.1
1701-925,20.6
1701-926,23.5
1701-927,19.3
1701-928,19.5
1701-929,19.9
1701-930,20
1701-931,19.6
1701-932,18.7
1701-933,19.7
1701-934,22.4
1701-935,20.9
1701-936,22.3
1701-937,19.3
1701-938,19.4
1701-939,19.9
1701-940,19.9
1701-941,23.4
1701-942,20.7
1701-943,21.8
1701-944,21.7
1701-945,20.5
1701-946,19.2
1701-948,21.2
1701-949,22.6
1701-950,19.9
1701-952,20.6
1701-953,18
1701-954,19.9
1701-955,20.2
1701-956,18.4
1701-957,21.8
1701-958,19.4
1701-959,22.5
1701-960,18.6
1701-961,18.9
1701-962,18.8
1701-963,20.5
1701-964,20.5
1701-965,20.4
1701-966,20.5
1701-968,20
1701-969,20.5
1701-970,20.6
1701-971,22.2
1701-972,19.9
1701-973,20.8
1701-974,21.1
1701-975,19.6
1701-976,19.7
1701-977,19.6
1701-978,20.5
1701-979,19.4
1701-980,21.3
1701-981,20.6
1701-982,20.6
1701-983,19.4
1701-984,21.6
1701-985,15.3
1701-986,21.5
1701-987,19.9
1707-103,21.5
1707-24,23.3
1707-53,20
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
